[INFO][2018-03-26 12:37:48,884][PID:4904][TID:4300] [onChannelIndication] GRPC Status : ChannelConnectivity.IDLE
[INFO][2018-03-26 12:37:49,085][PID:4904][TID:308] [onChannelIndication] GRPC Status : ChannelConnectivity.CONNECTING
[INFO][2018-03-26 12:37:49,086][PID:4904][TID:308] [onChannelIndication] GRPC Status : ChannelConnectivity.READY
[INFO][2018-03-26 12:37:52,891][PID:4904][TID:1124] [start] Starting Resource Manager...
[INFO][2018-03-26 12:37:52,897][PID:4904][TID:1124] [start] Starting VM Booker...
[INFO][2018-03-26 12:37:53,319][PID:4904][TID:1020] [run] Res state changed from:None to 1
[INFO][2018-03-26 12:38:07,875][PID:4904][TID:1124] [cleanup] Shutting down resource agent ...
[INFO][2018-03-26 12:38:07,875][PID:4904][TID:1124] [cleanup] Shutting down resource manager ...
[INFO][2018-03-26 12:38:07,877][PID:4904][TID:1124] [cleanup] Shutting down vm monitor ...
[INFO][2018-03-26 12:38:07,877][PID:4904][TID:1124] [cleanup] Shutting down vm booker ...
[INFO][2018-03-26 12:38:08,503][PID:4904][TID:1124] [cleanup] Completed all cleanup tasks, resource agent will exit in 3 seconds. Bye...
